driving_experience,type_of_vehicle,lanes_or_medians,road_allignment,types_of_junction,road_surface_conditions,light_conditions,weather_conditions,number_of_vehicles_involved,vehicle_movement,pedestrian_movement,accident_severity
1-2yr,Automobile,,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (> 45 seats),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (41?100Q),other,,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Public (> 45 seats),other,Tangent road with mild grade and flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,,other,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
,,,,Y Shape,Dry,Daylight,Normal,1.0,U-Turn,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,1.0,Moving Backward,Not a Pedestrian,Slight Injury
2-5yr,Automobile,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,U-Turn,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Crossing from driver's nearside,Slight Injury
1-2yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,U-Turn,Not a Pedestrian,Serious Injury
1-2yr,Public (13?45 seats),other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Serious Injury
No Licence,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Public (> 45 seats),Double carriageway (median),Escarpments,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Waiting to go,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Escarpments,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
Above 10yr,Lorry (11?40Q),One way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Public (13?45 seats),other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Going straight,Not a Pedestrian,Serious Injury
2-5yr,,other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,2.0,Moving Backward,Not a Pedestrian,Slight Injury
Below 1yr,Long lorry,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
2-5yr,Lorry (41?100Q),One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,1.0,Moving Backward,Not a Pedestrian,Serious Injury
5-10yr,Lorry (41?100Q),other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Getting off,Not a Pedestrian,Serious Injury
Above 10yr,Public (12 seats),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Serious Injury
,,other,,Crossing,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
2-5yr,Taxi,other,Tangent road with rolling terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
2-5yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
,,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (41?100Q),other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,1.0,Moving Backward,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
2-5yr,Automobile,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Undivided Two way,Gentle horizontal curve,O Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Gentle horizontal curve,O Shape,Dry,Daylight,Normal,2.0,Going straight,Unknown or other,Slight Injury
1-2yr,Taxi,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,,Undivided Two way,Gentle horizontal curve,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
,,other,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Pick up upto 10Q,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
,,other,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (12 seats),Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
Above 10yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Escarpments,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (11?40Q),Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Stationwagen,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Ridden horse,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
